a	a:
niðurgangur	n I: D Y r_0 k au N k Y r
niðurgreiðslu	n I: D Y r_0 k r ei D s t l Y
niðurgreiðslur	n I: D Y r_0 k r ei D s t l Y r
niðurlagi	n I: D Y r l ai j I
niðurlæging	n I: D Y r l ai j i N k
niðurlægingu	n I: D Y r l ai j i N k Y
niðurlægingunni	n I: D Y r l ai j i N k Y n I
niðurlægja	n I: D Y r l ai j a
niðurlægjandi	n I: D Y r l ai j a n t I
niðurlægð	n I: D Y r l ai G D
niðurlögum	n I: D Y r l 9 G Y m
niðurrif	n I: D Y r I v
niðurskurð	n I: D Y r_0 s k Y r D
niðurskurðar	n I: D Y r_0 s k Y r D a r
niðurskurði	n I: D Y r_0 s k Y r D I
niðurskurðinn	n I: D Y r_0 s k Y r D I n
niðurskurður	n I: D Y r_0 s k Y r D Y r
niðursokkinn	n I: D Y r_0 s O h c I n
niðursokknir	n I: D Y r_0 s O h k n I r
niðurstaða	n I: D Y r_0 s t a D a
niðurstaðan	n I: D Y r_0 s t a D a n
niðurstaðna	n I: D Y r_0 s t a D n a
niðurstöðu	n I: D Y r_0 s t 9 D Y
niðurstöðum	n I: D Y r_0 s t 9 D Y m
niðurstöðuna	n I: D Y r_0 s t 9 D Y n a
niðurstöðunni	n I: D Y r_0 s t 9 D Y n I
niðurstöðunum	n I: D Y r_0 s t 9 D O n Y m
niðurstöður	n I: D Y r_0 s t 9 D Y r
niðurstöðurnar	n I: D Y r_0 s t 9 D Y r t n a r
niðurstöðutölu	n I: D Y r_0 s t 9 D Y t_h 9 l Y
niðursveigt	n I: D Y r_0 s v ei x t
njarðvík	n j a r D v i k
njarðvíkinga	n j a r D v i c i N k a
njarðvíkingar	n j a r D v i c i N k a r
njarðvíkur	n j a r D v i k Y r
njáll	n j au t l_0
njálsson	n j au l s O n
njósna	n j ou s t n a
njósnara	n j ou s t n a r a
njósnarar	n j ou s t n a r a r
njósnari	n j ou s t n a r I
njósnir	n j ou s t n I r
njóta	n j ou: t a
njóti	n j ou: t I
njótum	n j ou: t Y m
noah	n ou: a h
nobody	n ou: p O t i
noise	n Oi s
nokia	n ou: c_h i a
nokkra	n O h k r a
nokkrar	n O h k r a r
nokkrir	n O h k r I r
nokkru	n O h k r Y
nokkrum	n O h k r Y m
nokkur	n O h k Y r
nokkurn	n O h k Y r t n_0
nokkurra	n O h k Y r a
nokkurrar	n O h k Y r a r
nokkurri	n O h k Y r I
nokkurs	n O h k Y r_0 s
nokkurskonar	n O h k Y r_0 s k O n a r
nokkurt	n O h k Y r_0 t
nokkuð	n O h k Y D
non	n O n
none	n O n
nonni	n O n I
noon	n u: n
nor	n O r
nord	n O r t
nordal	n O r t a l
nordica	n O r t I k a
nordisk	n O r t i s k
nordsjælland	n O r t s j E l a n t
noreg	n O: r E G
noregi	n O: r ei j I
noregs	n O: r E x s
noregur	n O: r E G Y r
norge	n O r j E
normal	n O r m a l
norpaði	n O r_0 p a D I
norrlandsgötu	n O r l a n t s k 9 t Y
norræn	n O r ai n
norræna	n O r ai n a
norrænar	n O r ai n a r
norrænir	n O r ai n I r
norrænna	n O r ai t n a
norrænni	n O r ai t n I
norræns	n O r ai n s
norrænt	n O r ai n_0 t
norrænu	n O r ai n Y
norrænum	n O r ai n Y m
norsk	n O r_0 s k
norska	n O r_0 s k a
norskan	n O r_0 s k a n
norskar	n O r_0 s k a r
norski	n O r_0 s c I
norskir	n O r_0 s c I r
norskra	n O r_0 s k r a
norskri	n O r_0 s k r I
norsku	n O r_0 s k Y
norskum	n O r_0 s k Y m
norskur	n O r_0 s k Y r
north	n O r_0 T
northern	n O r D E r n
norway	n O r v ei
norwich	n O r v I t s
norðan	n O r D a n
norðangjólan	n O r D a n c ou l a n
norðanlands	n O r D a n l a n t s
norðanverðu	n O r D a n v E r D Y
norðanverðum	n O r D a n v E r D Y m
norðanátt	n O r D a n au h t
norðaustan	n O r D 9i s t a n
norðaustur	n O r D 9i s t Y r
norðausturkjördæmi	n O r D 9i s t Y r_0 c_h 9 r_0 t ai m I
norðausturlandi	n O r D 9i s t Y r l a n t I
norðdahl	n O r t a l
norðfirði	n O r D f I r D I
norðlendingum	n O r D l E n t i N k Y m
norðlenska	n O r D l E n s k a
norðlingafljóti	n O r D l i N k a f l j ou t I
norðlingaholti	n O r D l i N k a h O l_0 t I
norðlingaöldulón	n O r D l i N k a 9 l t Y l ou n
norðlingaölduveitu	n O r D l i N k a 9 l t Y v ei t Y
norðlægum	n O r D l ai G Y m
norðmanna	n O r D m a n a
norðmaður	n O r D m a D Y r
norðmaðurinn	n O r D m a D Y r I n
norðmenn	n O r D m E n
norðmönnum	n O r D m 9 n Y m
norðri	n O r D r I
norður	n O r D Y r
norðurbandalagið	n O r D Y r_0 p a n t a l ai j I D
norðurdyrnar	n O r D Y r_0 t I r t n a r
norðurhluta	n O r D Y r_0 l_0 Y t a
norðurland	n O r D Y r l a n t
norðurlanda	n O r D Y r l a n t a
norðurlandanna	n O r D Y r l a n t a n a
norðurlandaráðs	n O r D Y r l a n t a r au D s
norðurlandi	n O r D Y r l a n t I
norðurlands	n O r D Y r l a n t s
norðurljós	n O r D Y r l j ou s
norðurlönd	n O r D Y r l 9 n t
norðurlöndin	n O r D Y r l 9 n t I n
norðurlöndum	n O r D Y r l 9 n t Y m
norðurlöndunum	n O r D Y r l 9 n t O n Y m
norðurmjólk	n O r D Y r m j ou l_0 k
norðurpólhettunni	n O r D Y r_0 p_h ou l h E h t Y n I
norðurpólinn	n O r D Y r_0 p_h ou l I n
norðurs	n O r D Y r_0 s
norðursins	n O r D Y r_0 s I n s
norðurskógar	n O r D Y r_0 s k ou G a r
norðurslóða	n O r D Y r_0 s t l ou D a
norðurslóðum	n O r D Y r_0 s t l ou D Y m
norðurá	n O r D Y r au
norðurál	n O r D Y r au l
norðuráls	n O r D Y r au l s
norðvestan	n O r D v E s t a n
norðvestur	n O r D v E s t Y r
norðvesturkjördæmi	n O r D v E s t Y r_0 c_h 9 r t ai m I
nostalgía	n O s t a l c i j a
not	n O: t
nota	n O: t a
notadrjúgt	n O: t a t r j u x t
notagildi	n O: t a c I l t I
notalegt	n O: t a l E x t
notandi	n O: t a n t I
notar	n O: t a r
notast	n O: t a s t
notað	n O: t a D
notaðar	n O: t a D a r
notaði	n O: t a D I
notaðir	n O: t a D I r
notaður	n O: t a D Y r
note	n ou: t
notenda	n O: t E n t a
notendum	n O: t E n t Y m
notendur	n O: t E n t Y r
notes	n ou: t s
notfæra	n O t f ai r a
nothing	n O T i N
nothæfur	n O t h ai v Y r
noti	n O: t I
notice	n ou: t I s
notið	n O: t I D
notkun	n O t k_h Y n
notkunar	n O t k Y n a r
nottingham	n O h t i N h a m
notum	n O: t Y m
notuð	n O: t Y D
notuðu	n O: t Y D Y
notuðum	n O: t Y D Y m
nova	n ou: v a
novator	n O: v a t_h O r
novosti	n ou v O s t i
now	n au:
nu	n u
nuclear	n j u: k l i E r
nudd	n Y t
nudda	n Y t a
nuddar	n Y t a r
nuddast	n Y t a s t
nuddað	n Y t a D
nuddaði	n Y t a D I
nuddpottarnir	n Y t p O h t a r t n I r
nuddtækni	n Y t t_h ai h k n I
nude	n j u: t
number	n 9 m p E r
numbers	n 9 m p E r_0 s
numið	n Y m I D
nun	n 9 n
nur	n u: r
nutu	n Y: t Y
nutum	n Y: t Y m
nyrðra	n I r D r a
nyt	n I: t
nyti	n I: t I
nytjafugl	n I: t j a f Y k l
nytjar	n I: t j a r
nytjastofna	n I: t j a s t O p n a
nytu	n I: t Y
ná	n au:
nábrók	n au: p r ou k
náfölt	n au: f 9 l_0 t
nágranna	n au: k r a n a
nágrannalöndum	n au: k r a n a l 9 n t Y m
nágrannalöndunum	n au: G r a n a l 9 n t O n Y m
nágrannar	n au: k r a n a r
nágranni	n au: k r a n I
nágranninn	n au: k r a n I n
nágrenni	n au: k r E n I
nágrenninu	n au: k r E n I n Y
nágrennis	n au: k r E n I s
nágrönnum	n au: k r 9 n Y m
nái	n au: I
náin	n au: I n
náinn	n au: I n
náinni	n au: I n I
náist	n au I s t
náið	n au: I D
nákvæm	n au: k_h v ai m
nákvæma	n au: k_h v ai m a
nákvæmar	n au: k_h v ai m a r
nákvæmari	n au: k_h v ai m a r I
nákvæmlega	n au: k_h v ai m l E G a
nákvæmni	n au: k_h v ai m n I
nákvæmri	n au: k_h v ai m r I
nákvæmt	n au: k_h v ai m_0 t
nákvæmu	n au: k_h v ai m Y
nákvæmum	n au: k_h v ai m Y m
nákvæmur	n au: k_h v ai m Y r
nál	n au: l
nálarauga	n au: l a r 9i G a
nálgast	n au l k a s t
nálgaðist	n au l k a D I s t
nálgun	n au l k Y n
nálgunarbann	n au l k Y n a r p a n
nálinni	n au: l I n I
nálægt	n au: l ai x t
nálægum	n au: l ai G Y m
nálægð	n au: l ai G D
nálægðar	n au: l ai G D a r
nám	n au: m
námi	n au: m I
náminu	n au: m I n Y
námið	n au: m I D
náms	n au m s
námsbrautir	n au m s p r 9i t I r
námsefni	n au m s E p n I
námsins	n au m s I n s
námskeið	n au m s c ei D
námskeiðanna	n au m s c ei D a n a
námskeiði	n au m s c ei D I
námskeiðin	n au m s c ei D I n
námskeiðinu	n au m s c ei D I n Y
námskeiðið	n au m s c ei D I D
námskeiðum	n au m s c ei D Y m
námskrár	n au m s k r au r
námslán	n au m s t l au n
námsmanna	n au m s m a n a
námsmaður	n au m s m a D Y r
námsmenn	n au m s m E n
námsmönnum	n au m s m 9 n Y m
námu	n au: m Y
námunda	n au: m Y n t a
nánar	n au: n a r
nánara	n au: n a r a
nánari	n au: n a r I
nánast	n au: n a s t
nánasta	n au: n a s t a
nánd	n au n t
nánu	n au: n Y
nánum	n au: n Y m
nánustu	n au: n Y s t Y
nást	n au s t
nátengd	n au: t_h ei N t
nátengdur	n au: t_h ei N t Y r
náttkjól	n au h t c_h ou l
náttlampanum	n au h t l a m_0 p a n Y m
náttúra	n au h t u r a
náttúran	n au h t u r a n
náttúrlega	n au h t u r l E G a
náttúru	n au h t u r Y
náttúruauðlindir	n au h t u r Y 9i D l I n t I r
náttúrufegurð	n au h t u r Y f E G Y r D
náttúrufræðistofnun	n au h t u r Y f r ai D I s t O p n Y n
náttúrufræðistofnunar	n au h t u r Y f r ai D I s t O p n Y n a r
náttúruleg	n au h t u r Y l E G
náttúrulega	n au h t u r Y l E G a
náttúrulegum	n au h t u r Y l E G Y m
náttúrulegur	n au h t u r Y l E G Y r
náttúruna	n au h t u r Y n a
náttúrunnar	n au h t u r Y n a r
náttúrunni	n au h t u r Y n I
náttúruval	n au h t u r Y v a l
náttúruvernd	n au h t u r Y v E r n t
náttúruverndar	n au h t u r Y v E r n t a r
náttúruverndarráð	n au h t u r Y v E r n t a r au D
náttúruverndarsamtök	n au h t u r Y v E r n t a r_0 s a m t_h 9 k
náum	n au: Y m
náunga	n au u N k a
náungann	n au: u N k a n
náunganum	n au: u N k a n Y m
náungi	n au: u J c I
návist	n au: v I s t
návígi	n au: v i j I
náð	n au: D
náði	n au: D I
náðir	n au: D I r
náðist	n au: D I s t
náðst	n au D s t
náðu	n au: D Y
náðugt	n au: D Y x t
náðum	n au: D Y m
náðust	n au: D Y s t
næg	n ai: G
næga	n ai: G a
nægan	n ai: G a n
nægar	n ai: G a r
nægi	n ai: j I
nægileg	n ai j I l E G
nægilega	n ai j I l E G a
nægilegt	n ai: j I l E x t
nægir	n ai j I r
nægja	n ai: j a
nægjanlega	n ai: j a n l E G a
nægjanlegt	n ai j a n l E x t
nægt	n ai x t
nægur	n ai: G Y r
nægði	n ai G D I
næla	n ai: l a
næmi	n ai: m I
nær	n ai: r
næra	n ai: r a
nærfellt	n ai r f E l_0 t
næringarfræðingur	n ai: r i N k a r_0 f r ai D i N k Y r
næringu	n ai: r i N k Y
nærliggjandi	n ai r l I c a n t I
nærmynd	n ai r m I n t
nærri	n ai r I
nærstaddir	n ai r_0 s t a t I r
nærtækast	n ai r_0 t_h ai k a s t
nærtækt	n ai r_0 t_h ai x t
nærvera	n ai r v E r a
nærveru	n ai r v E r Y
næs	n ai: s
næst	n ai s t
næsta	n ai s t a
næstefstu	n ai s t E f s t Y
næsti	n ai s t I
næstir	n ai s t I r
næstkomandi	n ai s t k_h O m a n t I
næstneðsta	n ai s t n E D s t a
næststærsta	n ai s t s t ai r_0 s t a
næststærsti	n ai s t s t ai r_0 s t I
næstu	n ai s t Y
næstum	n ai s t Y m
næstunni	n ai s t Y n I
næstur	n ai s t Y r
nætur	n ai: t Y r
næturklúbb	n ai: t Y r_0 k_h l u p
næturklúbbnum	n ai: t Y r_0 k_h l u p n Y m
næturlangt	n ai: t Y r l au N_0 t
næturvaktar	n ai: t Y r v a x t a r
næði	n ai: D I
næðist	n ai: D I s t
næðu	n ai: D Y
né	n j E:
níels	n i: E l s
níelsson	n i: E l s O n
nígeríu	n i: c E r i j Y
nína	n i: n a
nínu	n i: n Y
nítján	n i: t j au n
nítjánda	n i: t j au n t a
nítjándi	n i: t j au n t I
nítjándu	n i: t j au n t Y
níu	n i: Y
níunda	n i: j Y n t a
níundi	n i j Y n t I
níutíu	n i t_h i j Y
nóa	n ou: a
nóbels	n ou: p E l s
nóbelsverðlaunin	n ou: p E l s v E r D l 9i n I n
nóg	n ou: G
nógu	n ou: G Y
nógur	n ou: G Y r
nói	n ou: I
nótt	n ou h t
nóttin	n ou h t I n
nóttina	n ou h t I n a
nóttu	n ou h t Y
nóttunni	n ou h t Y n I
nótum	n ou: t Y m
nótunum	n ou: t O n Y m
nóvember	n ou: v E m p E r
nöfn	n 9 p n_0
nöfnin	n 9 p n I n
nöfnum	n 9 p n Y m
nökkvi	n 9 h k v I
nöktu	n 9 x t Y
nöldur	n 9 l t Y r
nörd	n 9 r t
nös	n 9: s
nötruðu	n 9: t r Y D Y
nú	n u:
núgildandi	n u: c I l t a n t I
núll	n u l
númer	n u: m E r
númerið	n u: m E r I D
núna	n u: n a
núningur	n u: n i N k Y r
núpur	n u: p Y r
nútíma	n u: t_h i m a
nútímans	n u: t_h i m a n s
nútímanum	n u: t_h i m a n Y m
nútíð	n u: t_h i D
núverandi	n u: v E r a n t I
ný	n i:
nýbreytni	n i: p r ei h t n I
nýbygging	n i: p I c i N k
nýbyggingar	n i: p I c i N k a r
nýbyggingu	n i: p I c i N k Y
nýbyggingum	n i: p I c i N k Y m
nýbúin	n i: p u I n
nýbúinn	n i: p u I n
nýfæddu	n i: f ai t Y
nýfæddur	n i: f ai t Y r
nýherja	n i: h E r j a
nýi	n i: I
nýir	n i: j I r
nýja	n i: j a
nýjan	n i: j a n
nýjar	n i: j a r
nýjasta	n i: j a s t a
nýjasti	n i: j a s t I
nýju	n i: j Y
nýjum	n i: j Y m
nýjung	n i: j u N k
nýjungar	n i: j u N k a r
nýjungum	n i: j u N k Y m
nýjustu	n i: j Y s t Y
nýkomin	n i: k_h O m I n
nýkominn	n i: k_h O m I n
nýleg	n i: l E G
nýlega	n i: l E G a
nýlegar	n i: l E G a r
nýlegri	n i: l E G r I
nýlegt	n i: l E x t
nýlegu	n i: l E G Y
nýlegum	n i: l E G Y m
nýlistasafnsins	n i: l I s t a s a p n_0 s I n s
nýliða	n i: l I D a
nýliðar	n i: l I D a r
nýliði	n i: l I D I
nýliðnu	n i: l I D n Y
nýliðum	n i: l I D Y m
nýliðun	n i: l I D Y n
nýlokið	n i: l O c I D
nýmæli	n i: m ai l I
nýr	n i: r
nýrnasjúkra	n i r t n a s j u k r a
nýrra	n i r a
nýrrar	n i r a r
nýrri	n i r I
nýráðinn	n i: r au D I n
nýs	n i: s
nýsköpun	n i: s k 9 p Y n
nýsköpunar	n i: s k 9 p Y n a r
nýsloppinn	n i: s t l O h p I n
nýst	n i s t
nýt	n i: t
nýta	n i: t a
nýtast	n i: t a s t
nýti	n i: t I
nýting	n i: t i N k
nýtingar	n i: t i N k a r
nýtingu	n i: t i N k Y
nýtir	n i: t I r
nýtist	n i: t I s t
nýtt	n i h t
nýttar	n i h t a r
nýtti	n i h t I
nýttir	n i h t I r
nýttu	n i h t Y
nýttur	n i h t Y r
nýtum	n i: t Y m
nýtur	n i: t Y r
nývaknaður	n i: v a h k n a D Y r
nýverið	n i: v E r I D
nýyrðasmíð	n i: I r D a s m i D
nýárs	n i:  j au r_0 s
nýársdag	n i: j au r_0 s t a G
o	O:
obama	ou p a: m a
obb	O p
obbann	O p a n
obbinn	O p I n
obviously	O p v i j 9 s t l i
ocean	ou: s j a n
odd	O t
odda	O t a
oddaleik	O t a l ei k
oddgeirsbæ	O t c ei r_0 s p ai
oddi	O t I
oddný	O t n i
odds	O t s
oddsdóttir	O t s t ou h t I r
oddsson	O t s O n
oddssonar	O t s O n a r
oddur	O t Y r
oddvita	O t v I t a
oddviti	O t v I t I
oder	O t E r
of	O: f
ofan	O: v a n
ofangreind	O: v a n k r ei n t
ofangreindra	O: v au n k r ei n t r a
ofangreindu	O: v a n k r ei n t Y
ofangreindum	O: v a n k r ei n t Y m
ofansleglatakttruflana	O: v a n s t l E k l a t_h a x t_h r Y p l a n a
ofantaldir	O: v a n t_h a l t I r
ofar	O: v a r
ofarlega	O: v a r l E G a
ofbeldi	O v p E l t I
ofbeldinu	O v p E l t I n Y
ofbeldis	O v p E l t I s
ofbeldisverk	O v p E l t I s v E r_0 k
ofbeldisverki	O v p E l t I s v E r_0 c I
ofbeldið	O v p E l t I D
ofboðslega	O v p O D s t l E G a
ofdekraðra	O v t E k r a D r a
off	O f
offari	O f a r I
offeitra	O f ei t r a
offer	O f E r
offered	O f E r t
offering	O f E r i N
offers	O f E r_0 s
officer	O f I s E r
offita	O f I t a
offitu	O f I t Y
offjárfesting	O f j au r_0 f E s t i N k
offorshaldinn	O f O r_0 s h a l t I n
offramleiðslan	O f r a m l ei D s t l a n
offramleiðslu	O f r a m l ei D s t l Y
offsett	O f s E h t
offshore	O f s j O r
offspring	O f s p r i N
offylli	O f I t l I
ofmælt	O v m ai l_0 t
ofn	O p n_0
ofninn	O p n I n
ofninum	O p n I n Y m
ofnskúffu	O p n_0 s k u f Y
ofnsteiktur	O p n_0 s t ei x t Y r
ofnæmi	O v n ai m I
ofsafengin	O f s a f ei J c I n
ofsafenginni	O f s a f ei J c I n I
ofsafengið	O f s a f ei J c I D
ofsafengna	O f s a f ei N n a
ofsafengnar	O f s a f ei N n a r
ofsakvíða	O f s a k_h v i D a
ofsalega	O f s a l E G a
ofsalegur	O f s a l E G Y r
ofskammtar	O f s k a m_0 t a r
ofsækja	O f s ai c a
ofsóknum	O f s ou h k n Y m
ofsóttur	O f s ou h t Y r
oft	O f t
oftar	O f t a r
oftast	O f t a s t
often	O f t E n
oftsinnis	O f t s I n I s
ofurhetja	O: v Y r_0 h E t j a
ofurskjaldbökurnar	O: v Y r_0 s c a l t p 9 k Y r t n a r
ofurstinn	O: v Y r_0 s t I n
ofuráherslu	O: v Y r au h E r_0 s t l Y
ofveiði	O v ei D I
ofvirkniröskun	O v I r_0 k n I r 9 s k Y n
ofviðri	O v I D r I
ofvæni	O v ai n I
og	O: G
oh	ou:
ohio	ou: h ai j ou
oil	Oi l
ok	O: k
okkar	O h k a r
okkur	O h k Y r
oklahoma	ou k l a h ou m a
oktana	O x t a n a
október	O x t ou p E r
októberkvöld	O x t ou p E r_0 k_h v 9 l t
old	ou l t
older	ou l t E r
ole	ou: l E
olga	O l k a
olgeirsson	O l c ei r_0 s O n
olgeirína	O l c ei r i n a
oliver	ou: l i v E r
olivier	O l I v i E r
olli	O t l I
ollu	O t l Y
olsen	ou l s E n
olympiakos	ou: l I m_0 p i j a k O s
olía	O: l i j a
olían	O: l i j a n
olís	O: l i s
olíu	O: l i j Y
olíudreifingu	O: l i j Y t r ei v i N k Y
olíufélaganna	O: l i j Y f j E l a G a n a
olíufélaginu	O: l i j Y f j E l ai j I n Y
olíufélagið	O: l i j Y f j E l ai j I D
olíufélögin	O: l i j Y f j E l 9i j I n
olíulampa	O: l i j Y l a m_0 p a
olíulampanum	O: l i j Y l a m_0 p a n Y m
olíusvæðinu	O: l i j Y s v ai D I n Y
olíuverð	O l i Y v E r D
omar	ou: m a r
omega	ou: m E k a
once	v O n s
one	v O n
ones	v O n s
ongoing	O n k ou i N
online	O n l ai n
ono	ou: n ou
onto	O n t_h u
op	O: p
opel	ou: p_h E l
open	ou: p_h E n
opened	ou: p E n t
opening	ou: p E n i N
opera	O p_h E r a
operating	O p E r ei t i N
opin	O: p I n
opinber	O: p I n p E r
opinbera	O: p I n p E r a
opinberar	O: p I n p E r a r
opinberir	O: p I n p E r I r
opinberlega	O: p I n p E r l E G a
opinberra	O: p I n p E r a
opinberrar	O: p I n p E r a r
opinberri	O: p I n p E r I
opinbers	O: p I n p E r_0 s
opinbert	O: p I n p E r_0 t
opinberu	O: p I n p E r Y
opinberum	O: p I n p E r Y m
opinberun	O: p I n p E r Y n
opinn	O: p I n
opinni	O: p I n I
opinskátt	O: p I n s k au h t
opið	O: p I D
opna	O h p n a
opnar	O h p n a r
opnari	O h p n a r I
opnast	O h p n a s t
opnað	O h p n a D
opnaðar	O h p n a D a r
opnaði	O h p n a D I
opnaðir	O h p n a D I r
opnaðist	O h p n a D I s t
opnaður	O h p n a D Y r
opni	O h p n I
opnir	O h p n I r
opnist	O h p n I s t
opnið	O h p n I D
opnu	O h p n Y
opnum	O h p n Y m
opnun	O h p n Y n
opnunar	O h p n Y n a r
opnunarfagnaður	O h p n Y n a r f a k n a D Y r
opnunarkeppni	O h p n Y n a r_0 c_h E h p n I
opnunartími	O h p n Y n a r_0 t_h i m I
opnunartíminn	O h p n Y n a r_0 t_h i m I n
opnunina	O h p n Y n I n a
opnuð	O h p n Y D
opnuðu	O h p n Y D Y
opnuðum	O h p n Y D Y m
opnuðust	O h p n Y D Y s t
option	O p s j O n
or	O: r
orange	O r E n t s
order	O r t E r
ordinary	O r t I n E r i
oregon	O: r E k O n
orf	O r f
organ	O r k a n
organista	O r k a n I s t a
organisti	O r k a n I s t I
orgel	O r c E l
orient	O: r i j E n_0 t
orka	O r_0 k a
orkan	O r_0 k a n
orkneyjum	O r_0 k n ei j Y m
orku	O r_0 k Y
orkufyrirtæki	O r_0 k Y f I r I r_0 t_h ai c I
orkugeirans	O r_0 k Y c ei r a n s
orkugjafa	O r_0 k Y c a v a
orkugjafi	O r_0 k Y c a v I
orkumálum	O r_0 k Y m au l Y m
orkuna	O r_0 k Y n a
orkunni	O r_0 k Y n I
orkupakkann	O r_0 k Y p a h k a n
orkustofnun	O r_0 k Y s t O p n Y n
orkustofnunar	O r_0 k Y s t O p n Y n a r
orkuveita	O r_0 k Y v ei t a
orkuveitan	O r_0 k Y v ei t a n
orkuveitu	O r_0 k Y v ei t Y
orkuveitunnar	O r_0 k Y v ei t Y n a r
orkuverð	O r_0 k Y v E r D
orlando	O r l a n t ou
orleans	O r l i n s
orlof	O r l O f
orlofs	O r l O f s
orlofsnefnd	O r l O f s t n E m t
orma	O r m a
ormagöng	O r m a k 9i N k
ormarsson	O r m a r_0 s O n
ormssonar	O r m s O n a r
ormstungu	O r m s t_h u N k Y
orra	O r a
orrahríð	O r a r_0 i D
orrahvolpur	O r a k_h v O l_0 p Y r
orri	O r I
orrusta	O r Y s t a
orrustunni	O r Y s t Y n I
orsakað	O r_0 s a k a D
orsakaði	O r_0 s a k a D I
orsakir	O r_0 s a c I r
orsök	O r_0 s 9 k
orsökum	O r_0 s 9 k Y m
ort	O r_0 t
orti	O r_0 t I
orð	O r D
orða	O r D a
orðabók	O r D a p ou k
orðalag	O r D a l a G
orðalagi	O r D a l ai j I
orðalagið	O r D a l ai j I D
orðanna	O r D a n a
orðar	O r D a r
orðasafnsskrárnar	O r D a s a p n_0 s k r au r t n a r
orðaskiptin	O r D a s c I f t I n
orðaskránni	O r D a s k r au n I
orðast	O r D a s t
orðatiltæki	O r D a t_h I l t_h ai c I
orðað	O r D a D
orðaði	O r D a D I
orðaður	O r D a D Y r
orði	O r D I
orðin	O r D I n
orðinn	O r D I n
orðinu	O r D I n Y
orðist	O r D I s t
orðið	O r D I D
orðlaus	O r l 9i s
orðlengja	O r D l ei J c a
orðnar	O r t n a r
orðnir	O r t n I r
orðræðu	O r D r ai D Y
orðrétt	O r D r j E h t
orðrómur	O r D r ou m Y r
orðs	O r T s
orðsending	O r D s E n t i N k
orðsifjabók	O r D s I v j a p ou k
orðsins	O r D s I n s
orðspor	O r T s p O r
orðstír	O r D s t i r
orðum	O r D Y m
orðunum	O r D O n Y m
orðuð	O r D Y D
osama	ou: s a m a
osasuna	O s a s u n a
oscar	O s k a r
oslo	O s l ou
osló	O s t l ou
oss	O s
ostakaka	O s t a k_h a k a
ostaveisla	O s t a v ei s t l a
osti	O s t I
osts	O s t s
other	O D E r
others	O D E r_0 s
otherwise	O D E r v ai s
ottesen	O h t E s E n
ottó	O h t ou
our	au r
out	au t
outfitters	au t f I h t E r_0 s
outside	au t s ai t
over	ou: v E r
overall	ou: v E r O l
owen	ou: E n
own	ou: n
owned	ou: n t
owners	ou: n E r_0 s
oxford	O k s f O r t
p	p_h j E:
pabba	p_h a p a
pabbar	p_h a p a r
pabbarnir	p_h a p a r t n I r
pabbi	p_h a p I
pabbinn	p_h a p I n
pablo	p_h a p l O
pace	p_h ei: s
pacers	p_h ei: s E r_0 s
packers	p_h a h k E r_0 s
page	p_h ei: t s
paid	p_h ei: t
pain	p_h ei: n
paint	p_h ei n_0 t
pair	p_h E: r
pakistan	p_h a: c I s t a n
pakistans	p_h a: c I s t a n s
pakk	p_h a h k
pakka	p_h a h k a
pakkana	p_h a h k a n a
pakkann	p_h a h k a n
pakkanum	p_h a h k a n Y m
pakkar	p_h a h k a r
pakkað	p_h a h k a D
pakki	p_h a h c I
pakkinn	p_h a h c I n
pakkninga	p_h a h k n i N k a
pale	p_h ei: l
palermo	p_h a: l E r m O
palestína	p_h a: l E s t i n a
palestínsk	p_h a: l E s t i n s k
palestínsku	p_h a: l E s t i n s k Y
palestínskum	p_h a: l E s t i n s k Y m
palestínu	p_h a: l E s t i n Y
palestínumanna	p_h a: l E s t i n Y m a n a
palestínumenn	p_h a: l E s t i n Y m E n
pall	p_h a t l_0
palla	p_h a l a
pallborðsumræðum	p_h a t l_0 p O r D s Y m r ai D Y m
pallbílinn	p_h a t l_0 p i l I n
palli	p_h a l I
pallinn	p_h a t l I n
palmer	p_h a l m E r
pan	p_h a: n
panama	p_h a n a m a
panda	p_h a n t a
panic	p_h a: n I k
panna	p_h a n a
panorama	p_h a: n O r a m a
panta	p_h a n_0 t a
pantanir	p_h a n_0 t a n I r
pantað	p_h a n_0 t a D
panther	p_h a n T E r
paolo	p_h a O l O
papa	p_h a: p a
pape	p_h ei: p
paper	p_h ei: p E r
papers	p_h ei: p E r_0 s
pappa	p_h a h p a
pappabox	p_h a h p a p O k s
pappamöppum	p_h a h p a m 9 h p Y m
pappaspjald	p_h a h p a s p j a l t
pappaþaki	p_h a h p a T a c I
pappír	p_h a h p i r
pappírinn	p_h a h p i r I n
pappírnum	p_h a h p i r t n Y m
