a	aː
lokum	l ɔː k ʏ m
lokun	l ɔː k ʏ n
lokunar	l ɔː k ʏ n a r
lokunni	l ɔː k ʏ n ɪ
lokuð	l ɔː k ʏ ð
lokuðu	l ɔː k ʏ ð ʏ
lokuðum	l ɔː k ʏ ð ʏ m
london	l ɔ n t ɔ n
lone	l ouː n
lonely	l ou n l i
long	l ɔ ŋ
longer	l ɔ ŋ ɛ r
look	l u k
looked	l u k t
looking	l u k i ŋ
looks	l u k s
loose	l u s
lopez	l ouː pʰ ɛ s
loppa	l ɔ h p a
loppunum	l ɔ h p ɔ n ʏ m
loppurnar	l ɔ h p ʏ r t n a r
lord	l ɔ r t
lortur	l ɔ r̥ t ʏ r
los	l ɔː s
losa	l ɔː s a
losar	l ɔː s a r
losað	l ɔː s a ð
losaði	l ɔː s a ð ɪ
lose	l uː s
losna	l ɔ s t n a
losnar	l ɔ s t n a r
losnað	l ɔ s t n a ð
losnaði	l ɔ s t n a ð ɪ
losni	l ɔ s t n ɪ
losnuðu	l ɔ s t n ʏ ð ʏ
loss	l ɔ s
lost	l ɔ s t
lostahross	l ɔ s t a r̥ ɔ s
lostnir	l ɔ s t n ɪ r
losun	l ɔː s ʏ n
losunar	l ɔː s ʏ n a r
lotið	l ɔː t ɪ ð
lotning	l ɔ h t n i ŋ k
lottó	l ɔ h t ou
lotu	l ɔː t ʏ
lotus	l ouː tʰ u s
loud	l auː t
louis	l uː ɪ s
louisiana	l uː ɪ s i j a n a
love	l ɔ v
loved	l ɔ v t
lover	l ɔ v ɛ r
lovers	l ɔ v ɛ r̥ s
loves	l ɔ v s
loving	l ɔ v i ŋ
lovren	l ɔ v r ɛ n
lovísa	l ɔː v i s a
lovísu	l ɔː v i s ʏ
low	l ouː
lower	l ouː ɛ r
loðinn	l ɔː ð ɪ n
loðna	l ɔ ð n a
loðnan	l ɔ ð n a n
loðnu	l ɔ ð n ʏ
loðnuvinnslunnar	l ɔ ð n ʏ v ɪ n s t l ʏ n a r
lubba	l ʏ p a
lubbann	l ʏ p a n
lucas	l uː kʰ a s
luck	l œ h k
lucky	l œ h k i
lufthansa	l u f t h a n s a
luis	l uː ɪ s
luiz	l u i s
luka	l uː k a
lukas	l ʏː k a s
luke	l uː k
lukka	l ʏ h k a
lukku	l ʏ h k ʏ
lukkunnar	l ʏ h k ʏ n a r
lukkupottinn	l ʏ h k ʏ pʰ ɔ h t ɪ n
luktinni	l ʏ x t ɪ n ɪ
luktum	l ʏ x t ʏ m
luku	l ʏː k ʏ
lum	l œ m
lummur	l ʏ m ʏ r
lunch	l œ n t s
lund	l ʏ n t
lunda	l ʏ n t a
lundarreykjadal	l ʏ n t a r ei c a t a l
lundi	l ʏ n t ɪ
lundúna	l ʏ n t u n a
lundúnum	l ʏ n t u n ʏ m
lunga	l u ŋ k a
lungna	l u ŋ n a
lungnabólgu	l u ŋ n a p ou l k ʏ
lungnarýmd	l u ŋ n a r i m t
lungnasjúkdóma	l u ŋ n a s j u k t ou m a
lungnasjúklinga	l u ŋ n a s j u h k l i ŋ k a
lungnaígræðslu	l u ŋ n a i k r ai ð s t l ʏ
lungum	l u ŋ k ʏ m
lungun	l u ŋ k ʏ n
lungunum	l u ŋ k ɔ n ʏ m
luton	l uː t ɔ n
lutu	l ʏː t ʏ
luxembourg	l œ k s ɛ m p œ r k
luxury	l œ k s j ʏ r i
lyf	l ɪː v
lyfin	l ɪː v ɪ n
lyfinu	l ɪː v ɪ n ʏ
lyfið	l ɪː v ɪ ð
lyfja	l ɪ v j a
lyfjafræðingur	l ɪ v j a f r ai ð i ŋ k ʏ r
lyfjafyrirtæki	l ɪ v j a f ɪ r ɪ r̥ tʰ ai c ɪ
lyfjafyrirtækið	l ɪ v j a f ɪ r ɪ r̥ tʰ ai c ɪ ð
lyfjagjöf	l ɪ v j a c œ v
lyfjagras	l ɪ v j a k r a s
lyfjakostnaði	l ɪ v j a kʰ ɔ s t n a ð ɪ
lyfjameðferð	l ɪ v j a m ɛ ð f ɛ r ð
lyfjanotkun	l ɪ v j a n ɔ t k ʏ n
lyfjapróf	l ɪ v j a pʰ r ou v
lyfjarannsóknir	l ɪ v j a r a n s ou h k n ɪ r
lyfjastofnun	l ɪ v j a s t ɔ p n ʏ n
lyfjastofnunar	l ɪ v j a s t ɔ p n ʏ n a r
lyfjatæknabraut	l ɪ v j a tʰ ai h k n a p r œy t
lyfjaverslun	l ɪ v j a v ɛ r̥ s t l ʏ n
lyfjaverslunar	l ɪ v j a v ɛ r̥ s t l ʏ n a r
lyfju	l ɪ v j ʏ
lyfjum	l ɪ v j ʏ m
lyfseðla	l ɪ f s ɛ ð l a
lyft	l ɪ f t
lyfta	l ɪ f t a
lyfti	l ɪ f t ɪ
lyftir	l ɪ f t ɪ r
lyftistöng	l ɪ f t ɪ s t œy ŋ k
lyftu	l ɪ f t ʏ
lygar	l ɪː ɣ a r
lygari	l ɪː ɣ a r ɪ
lygi	l iː j ɪ
lygnan	l ɪ k n a n
lygndi	l i ŋ t ɪ
lygnt	l i ŋ̊ t
lyki	l ɪː c ɪ
lykil	l ɪː c ɪ l
lykilatriði	l ɪː c ɪ l a t r ɪ ð ɪ
lykilatriðið	l ɪː c ɪ l a t r ɪ ð ɪ ð
lykilhlutverk	l ɪː c ɪ l l̥ ʏ t v ɛ r̥ k
lykilhlutverki	l ɪː c ɪ l l̥ ʏ t v ɛ r̥ c ɪ
lykilinn	l ɪː c ɪ l ɪ n
lykill	l ɪː c ɪ t l̥
lykillinn	l ɪː c ɪ t l ɪ n
lykilmanna	l ɪː c ɪ l m a n a
lykilmaður	l ɪː c ɪ l m a ð ʏ r
lykilmenn	l ɪː c ɪ l m ɛ n
lykilmönnum	l ɪː c ɪ l m œ n ʏ m
lykilorð	l ɪː c ɪ l ɔ r ð
lykkja	l ɪ h c a
lykkjur	l ɪ h c ʏ r
lykla	l ɪ h k l a
lyklaborð	l ɪ h k l a p ɔ r ð
lykt	l ɪ x t
lykta	l ɪ x t a
lyktar	l ɪ x t a r
lyktaði	l ɪ x t a ð ɪ
lyktin	l ɪ x t ɪ n
lyktina	l ɪ x t ɪ n a
lyktir	l ɪ x t ɪ r
lyktuðu	l ɪ x t ʏ ð ʏ
lyng	l i ŋ k
lyngbak	l i ŋ k p a k
lyngby	l i ŋ p i
lynghæna	l i ŋ k h ai n a
lyngi	l i ɲ c ɪ
lyngið	l i ɲ c ɪ ð
lyngási	l i ŋ k au s ɪ
lyngþúfur	l i n k θ u v ʏ r
lyon	l iː ɔ n
lyppast	l ɪ h p a s t
lyst	l ɪ s t
lystarlaus	l ɪ s t a r l œy s
lá	l auː
lág	l auː ɣ
lága	l auː ɣ a
lágafellskirkju	l auː ɣ a f ɛ l s cʰ ɪ r̥ c ʏ
lágafellsskóla	l auː ɣ a f ɛ l s k ou l a
lágafellssóknar	l auː ɣ a f ɛ l s ou h k n a r
lágar	l auː ɣ a r
lágir	l auː j ɪ r
láglendi	l au ɣ l ɛ n t ɪ
lágmark	l au ɣ m a r̥ k
lágmarka	l auː ɣ m a r̥ k a
lágmarki	l au ɣ m a r̥ c ɪ
lágmarks	l au ɣ m a r̥ k s
lágmarkskröfur	l au ɣ m a r̥ k s kʰ r œ v ʏ r
lágmarkslaun	l au ɣ m a r̥ k s t l œy n
lágmarkslaunum	l au ɣ m a r̥ k s t l œy n ʏ m
lágmæltur	l auː ɣ m ai l̥ t ʏ r
lágt	l au x t
lágu	l auː ɣ ʏ
lágum	l auː ʏ m
lágur	l auː ɣ ʏ r
lán	l auː n
lána	l auː n a
lánafyrirgreiðslu	l auː n a f ɪ r ɪ r k r ei ð s t l ʏ
lánanna	l auː n a n a
lánar	l auː n a r
lánardrottna	l auː n a r t r ɔ h t n a
lánardrottnar	l auː n a r t r ɔ h t n a r
lánasamninga	l auː n a s a m n i ŋ k a
lánasamsetningu	l auː n a s a m s ɛ h t n i ŋ k ʏ
lánasjóð	l auː n a s j ou ð
lánasjóði	l auː n a s j ou ð ɪ
lánasjóðs	l auː n a s j ou ð s
lánasjóðsins	l auː n a s j ou ð s ɪ n s
lánasjóður	l auː n a s j ou ð ʏ r
lánastarfsemi	l auː n a s t a r f s ɛ m ɪ
lánastofnana	l auː n a s t ɔ p n a n a
lánastofnanir	l auː n a s t ɔ p n a n ɪ r
lánastofnunum	l auː n a s t ɔ p n ʏ n ʏ m
lánað	l auː n a ð
lánaða	l auː n a ð a
lánaðan	l auː n a ð a n
lánaði	l auː n a ð ɪ
lánaður	l auː n a ð ʏ r
láni	l auː n ɪ
lánin	l auː n ɪ n
láninu	l auː n ɪ n ʏ
lánið	l auː n ɪ ð
láns	l au n s
lánsamur	l au n s a m ʏ r
lánsfjár	l au n s f j au r
lánsfjáráætlun	l au n s f j au r au ai h t l ʏ n
lánsfé	l au n s f j ɛ
lánshæfi	l au n s h ai v ɪ
lánshæfiseinkunn	l au n s h ai v ɪ s ei ŋ̊ k ʏ n
lánshæfismat	l au n s h ai v ɪ s m a t
lánsins	l au n s ɪ n s
lánskjaravísitölu	l au n s cʰ a r a v i s ɪ tʰ œ l ʏ
lánskjör	l au n s cʰ œ r
lánsmaður	l au n s m a ð ʏ r
lánssamning	l au n s a m n i ŋ k
lánssamninga	l au n s a m n i ŋ k a
lánssamningi	l au n s a m n i ɲ c ɪ
lánssamningnum	l au n s a m n i ŋ k n ʏ m
lánssamningsins	l au n s a m n i ŋ s ɪ n s
lánssamningur	l au n s a m n i ŋ k ʏ r
lánstíma	l au n s tʰ i m a
lánsöm	l au n s œ m
lántaka	l au n tʰ a k a
lántakenda	l au n tʰ a k ɛ n t a
lántakendur	l au n tʰ a c ɛ n t ʏ r
lántaki	l au n tʰ a c ɪ
lántöku	l au n tʰ œ k ʏ
lántökum	l au n tʰ œ k ʏ m
lántökur	l au n tʰ œ k ʏ r
lánum	l auː n ʏ m
lánunum	l auː n ɔ n ʏ m
lánuðu	l auː n ʏ ð ʏ
lánveitanda	l au n v ei t a n t a
lánveitandi	l au n v ei t a n t ɪ
lánveitendur	l au n v ei t ɛ n t ʏ r
lánveitinga	l au n v ei t i ŋ k a
lánveitingar	l au n v ei t i ŋ k a r
lánveitingu	l au n v ei t i ŋ k ʏ
lánveitingum	l au n v ei t i ŋ k ʏ m
lánþega	l au n θ ɛ ɣ a
lára	l auː r a
láru	l auː r ʏ
lárus	l auː r ʏ s
lárusar	l auː r ʏ s a r
lárusdóttir	l auː r ʏ s t ou h t ɪ r
lárusdóttur	l auː r ʏ s t ou h t ʏ r
lárusi	l auː r ʏ s ɪ
lárusson	l auː r ʏ s ɔ n
lárussonar	l auː r ʏ s ɔ n a r
lárussyni	l auː r ʏ s ɪ n ɪ
lás	l auː s
lásu	l auː s ʏ
lát	l auː t
láta	l auː t a
láti	l auː t ɪ
látin	l auː t ɪ n
látinn	l auː t ɪ n
látinna	l auː t ɪ n a
látist	l auː t ɪ s t
látið	l auː t ɪ ð
látlaus	l au t l œy s
látlausan	l au t l œy s a n
látlausar	l au t l œy s a r
látlaust	l auː t l œy s t
látlausum	l auː t l œy s ʏ m
látna	l au h t n a
látnar	l au h t n a r
látni	l au h t n ɪ
látnir	l au h t n ɪ r
látnu	l au h t n ʏ
látnum	l au h t n ʏ m
láttu	l au h t ʏ
látum	l auː t ʏ m
látæði	l auː t ai ð ɪ
lávarður	l auː v a r ð ʏ r
láðist	l auː ð ɪ s t
láðst	l au ð s t
læddumst	l ai t ʏ m s t
lægi	l ai j ɪ
lægir	l ai j ɪ r
lægja	l ai j a
lægju	l ai j ʏ
lægra	l ai ɣ r a
lægri	l ai ɣ r ɪ
lægst	l ai x s t
lægsta	l ai x s t a
lægstu	l ai x s t ʏ
lægstur	l ai x s t ʏ r
lægð	l ai ɣ ð
læk	l aiː k
lækinn	l aiː c ɪ n
lækjarbotnum	l aiː c a r̥ p ɔ h t n ʏ m
lækjargötu	l aiː c a r̥ k œ t ʏ
lækjarskóla	l aiː c a r̥ s k ou l a
lækjartorg	l aiː c a r̥ tʰ ɔ r k
lækjartorgi	l aiː c a r̥ tʰ ɔ r c ɪ
lækjum	l aiː c ʏ m
lækka	l ai h k a
lækkandi	l ai h k a n t ɪ
lækkanir	l ai h k a n ɪ r
lækkar	l ai h k a r
lækkað	l ai h k a ð
lækkaðar	l ai h k a ð a r
lækkaði	l ai h k a ð ɪ
lækkaðir	l ai h k a ð ɪ r
lækkaður	l ai h k a ð ʏ r
lækki	l ai h c ɪ
lækkun	l ai h k ʏ n
lækkunar	l ai h k ʏ n a r
lækkunin	l ai h k ʏ n ɪ n
lækkuð	l ai h k ʏ ð
lækkuðu	l ai h k ʏ ð ʏ
lækna	l ai h k n a
læknadeild	l ai h k n a t ei l t
læknafélags	l ai h k n a f j ɛ l a x s
læknafélagsins	l ai h k n a f j ɛ l a x s ɪ n s
læknana	l ai h k n a n a
læknanna	l ai h k n a n a
læknar	l ai h k n a r
læknarnir	l ai h k n a r t n ɪ r
læknastofu	l ai h k n a s t ɔ v ʏ
læknastofunni	l ai h k n a s t ɔ v ʏ n ɪ
læknavakt	l ai h k n a v a x t
læknavaktin	l ai h k n a v a x t ɪ n
læknað	l ai h k n a ð
lækni	l ai h k n ɪ
lækning	l ai h k n i ŋ k
lækninga	l ai h k n i ŋ k a
lækningar	l ai h k n i ŋ k a r
lækningu	l ai h k n i ŋ k ʏ
lækninn	l ai h k n ɪ n
lækninum	l ai h k n ɪ n ʏ m
læknir	l ai h k n ɪ r
læknirinn	l ai h k n ɪ r ɪ n
læknis	l ai h k n ɪ s
læknisfræði	l ai h k n ɪ s f r ai ð ɪ
læknisfræðileg	l ai h k n ɪ s f r ai ð ɪ l ɛ ɣ
læknisfræðilegur	l ai h k n ɪ s f r ai ð ɪ l ɛ ɣ ʏ r
læknisfræðinnar	l ai h k n ɪ s f r ai ð ɪ n a r
læknishendur	l ai h k n ɪ s h ɛ n t ʏ r
læknisins	l ai h k n ɪ s ɪ n s
læknismeðferð	l ai h k n ɪ s m ɛ ð f ɛ r ð
læknisskoðun	l ai h k n ɪ s k ɔ ð ʏ n
læknisvottorð	l ai h k n ɪ s v ɔ h t ɔ r ð
læknisvottorði	l ai h k n ɪ s v ɔ h t ɔ r ð ɪ
læknisþjónusta	l ai h k n ɪ s θ j ou n ʏ s t a
læknisþjónustu	l ai h k n ɪ s θ j ou n ʏ s t ʏ
læknum	l ai h k n ʏ m
lækur	l aiː k ʏ r
læra	l aiː r a
lærdóm	l ai r t ou m
lærdómsríkt	l ai r t ou m s r i x t
lærdómur	l ai r t ou m ʏ r
læri	l aiː r ɪ
lærir	l aiː r ɪ r
lærisveina	l aiː r ɪ s v ei n a
lærisveinar	l aiː r ɪ s v ei n a r
lærisveinn	l aiː r ɪ s v ei t n̥
lærisveinum	l aiː r ɪ s v ei n ʏ m
lærið	l aiː r ɪ ð
lærling	l ai r l i ŋ k
lærlinga	l ai r l i ŋ k a
lærlingana	l ai r l i ŋ k a n a
lærlinganna	l ai r l i ŋ k a n a
lærlingar	l ai r l i ŋ k a r
lærlingarnir	l ai r l i ŋ k a r t n ɪ r
lærlingi	l ai r l i ɲ c ɪ
lærlinginn	l ai r l i ɲ c ɪ n
lærlingnum	l ai r l i ŋ n ʏ m
lærlings	l ai r l i ŋ s
lærlingsins	l ai r l i ŋ s ɪ n s
lærlingum	l ai t l i ŋ k ʏ m
lærlingunum	l ai r l i ŋ k ɔ n ʏ m
lærlingur	l ai r l i ŋ k ʏ r
lærlingurinn	l ai r l i ŋ k ʏ r ɪ n
lært	l ai r̥ t
lærum	l aiː r ʏ m
lærði	l ai r ð ɪ
lærðu	l ai r ð ʏ
lærðum	l ai r ð ʏ m
lærður	l ai r ð ʏ r
læsa	l aiː s a
læsi	l aiː s ɪ
læst	l ai s t
læsta	l ai s t a
læt	l aiː t
læti	l aiː t ɪ
lætin	l aiː t ɪ n
lætur	l aiː t ʏ r
læða	l aiː ð a
læðingi	l aiː ð i ɲ c ɪ
læðist	l aiː ð ɪ s t
lék	l j ɛː k
léki	l j ɛː c ɪ
léku	l j ɛː k ʏ
lékum	l j ɛː k ʏ m
léleg	l j ɛː l ɛ ɣ
lélega	l j ɛː l ɛ ɣ a
lélegar	l j ɛː l ɛ ɣ a r
lélegir	l j ɛː l ei j ɪ r
lélegri	l j ɛː l ɛ ɣ r ɪ
lélegt	l j ɛː l ɛ x t
lélegu	l j ɛː l ɛ ɣ ʏ
lélegum	l j ɛː l ɛ ɣ ʏ m
lélegur	l j ɛː l ɛ ɣ ʏ r
lén	l j ɛː n
léreft	l j ɛː r ɛ f t
lést	l j ɛ s t
lét	l j ɛː t
léti	l j ɛː t ɪ
létt	l j ɛ h t
létta	l j ɛ h t a
léttan	l j ɛ h t a n
léttar	l j ɛ h t a r
léttara	l j ɛ h t a r a
léttari	l j ɛ h t a r ɪ
léttast	l j ɛ h t a s t
létti	l j ɛ h t ɪ
léttilega	l j ɛ h t ɪ l ɛ ɣ a
léttir	l j ɛ h t ɪ r
léttirinn	l j ɛ h t ɪ r ɪ n
léttleika	l j ɛ h t l ei k a
léttreykt	l j ɛ h t r ei x t
léttskýjað	l j ɛ h t s c i j a ð
léttu	l j ɛ h t ʏ
léttum	l j ɛ h t ʏ m
léttur	l j ɛ h t ʏ r
léttúð	l j ɛ h t u ð
létu	l j ɛː t ʏ
létum	l ɛː t ʏ m
létust	l j ɛː t ʏ s t
líbanon	l iː p a n ɔ n
líbanons	l iː p a n ɔ n s
líberíu	l iː p ɛ r i j ʏ
líbíu	l iː p i j ʏ
líbýu	l iː p i j ʏ
líf	l iː v
lífdaga	l i v t a ɣ a
líferni	l iː v ɛ r t n ɪ
lífeyri	l iː v ei r ɪ
lífeyrir	l iː v ei r ɪ r
lífeyris	l iː v ei r ɪ s
lífeyrisgreiðslur	l iː v ei r ɪ s k r ei ð s t l ʏ r
lífeyrisréttinda	l iː v ei r ɪ s r j ɛ h t ɪ n t a
lífeyrisréttindi	l iː v ei r ɪ s r j ɛ h t ɪ n t ɪ
lífeyrissjóð	l iː v ei r ɪ s j ou ð
lífeyrissjóða	l iː v ei r ɪ s j ou ð a
lífeyrissjóðanna	l iː v ei r ɪ s j ou ð a n a
lífeyrissjóði	l iː v ei r ɪ s j ou ð ɪ
lífeyrissjóðina	l iː v ei r ɪ s j ou ð ɪ n a
lífeyrissjóðir	l iː v ei r ɪ s j ou ð ɪ r
lífeyrissjóðirnir	l iː v ei r ɪ s j ou ð ɪ r t n ɪ r
lífeyrissjóðnum	l iː v ei r ɪ s j ou ð n ʏ m
lífeyrissjóðs	l iː v ei r ɪ s j ou ð s
lífeyrissjóðsins	l iː v ei r ɪ s j ou ð s ɪ n s
lífeyrissjóðum	l iː v ei r ɪ s j ou ð ʏ m
lífeyrissjóðunum	l iː v ei r ɪ s j ou ð ɔ n ʏ m
lífeyrissjóður	l iː v ei r ɪ s j ou ð ʏ r
lífeyrissjóðurinn	l iː v ei r ɪ s j ou ð ʏ r ɪ n
lífeyrisskuldbindingar	l iː v ei r ɪ s k ʏ l t p ɪ n t i ŋ k a r
lífeyrisþega	l iː v ei r ɪ s θ ɛ ɣ a
lífeyrisþegar	l iː v ei r ɪ s θ ɛ ɣ a r
lífeðlisfræði	l iː v ɛ ð l ɪ s f r ai ð ɪ
líffræði	l i f r ai ð ɪ
líffræðilega	l i f r ai ð ɪ l ɛ ɣ a
líffræðilegur	l i f r ai ð ɪ l ɛ ɣ ʏ r
líffræðingur	l i f r ai ð i ŋ k ʏ r
líffæri	l i f ai r ɪ
líffærum	l i f ai r ʏ m
lífga	l i v k a
lífi	l iː v ɪ
lífinu	l iː v ɪ n ʏ
lífið	l iː v ɪ ð
lífleg	l i v l ɛ ɣ
líflegri	l i v l ɛ ɣ r ɪ
líflegt	l i v l ɛ x t
líflegur	l i v l ɛ ɣ ʏ r
lífláti	l iː v l au t ɪ
lífræn	l i v r ai n
lífræna	l i v r ai n a
lífrænn	l i v r ai t n̥
lífrænna	l i v r ai t n a
lífrænni	l i v r ai t n ɪ
lífrænt	l i v r ai n̥ t
lífrænum	l i v r ai n ʏ m
lífríki	l i v r i c ɪ
lífríkinu	l i v r i c ɪ n ʏ
lífríkið	l i v r i c ɪ ð
lífs	l i f s
lífsaugað	l i f s œy ɣ a ð
lífsbaráttan	l i f s p a r au h t a n
lífsbaráttunni	l i f s p a r au h t ʏ n ɪ
lífsferil	l i f s f ɛ r ɪ l
lífsförunaut	l i f s f œ r ʏ n œy t
lífsglaða	l i f s k l a ð a
lífsglaður	l i f s k l a ð ʏ r
lífsgleði	l i f s k l ɛ ð ɪ
lífsgleðin	l i f s k l ɛ ð ɪ n
lífsglöð	l i f s k l œ ð
lífsgæði	l i f s c ai ð ɪ
lífsgæðum	l i f s c ai ð ʏ m
lífshlaup	l i f s l̥ œy p
lífshætti	l i f s h ai h t ɪ
lífshættu	l i f s h ai h t ʏ
lífshættulega	l i f s h ai h t ʏ l ɛ ɣ a
lífsins	l i f s ɪ n s
lífskjara	l i f s cʰ a r a
lífskjör	l i f s cʰ œ r
lífskjörin	l i f s cʰ œ r ɪ n
lífskjörum	l i f s cʰ œ r ʏ m
lífsleikni	l i f s t l ei h k n ɪ
lífsleiðinni	l i f s t l ei ð ɪ n ɪ
lífslíkur	l i f s t l i k ʏ r
lífslöngun	l i f s t l œy ŋ k ʏ n
lífsnauðsyn	l i f s t n œy ð s ɪ n
lífsorku	l i f s ɔ r̥ k ʏ
lífsreynsla	l i f s r ei n s t l a
lífsreynslu	l i f s r ei n s t l ʏ
lífsskilyrði	l i f s c ɪ l ɪ r ð ɪ
lífsskoðun	l i f s k ɔ ð ʏ n
lífsspeki	l i f s p ɛ c ɪ
lífsstarfi	l i f s t a r v ɪ
lífsstíl	l i f s t i l
lífsstíll	l i f s t i t l̥
lífssýn	l i f s i n
lífstykki	l i f s t ɪ h c ɪ
lífstíð	l i f s tʰ i ð
lífstíðarfangelsi	l i f s tʰ i ð a r̥ f au ɲ c ɛ l s ɪ
lífsviðurværi	l i f s v ɪ ð ʏ r v ai r ɪ
lífsýni	l i f s i n ɪ
lífsþorsta	l i f s θ ɔ r̥ s t a
líftækni	l i v tʰ ai h k n ɪ
líftæknifyrirtæki	l i v tʰ ai h k n ɪ f ɪ r ɪ r̥ tʰ ai c ɪ
líftíma	l i v tʰ i m a
líftími	l i v tʰ i m ɪ
lífvera	l i v ɛ r a
lífverur	l i v v ɛ r ʏ r
lígúrísku	l iː k u r i s k ʏ
lík	l iː k
líka	l iː k a
líkama	l iː kʰ a m a
líkamann	l iː kʰ a m a n
líkamans	l iː kʰ a m a n s
líkamanum	l iː kʰ a m a n ʏ m
líkami	l iː kʰ a m ɪ
líkaminn	l iː kʰ a m ɪ n
líkamleg	l iː kʰ a m l ɛ ɣ
líkamlega	l iː kʰ a m l ɛ ɣ a
líkamlegri	l iː kʰ a m l ɛ ɣ r ɪ
líkamlegt	l iː kʰ a m l ɛ x t
líkamlegu	l iː kʰ a m l ɛ ɣ ʏ
líkamlegum	l iː kʰ a m l ɛ ɣ ʏ m
líkamlegur	l iː kʰ a m l ɛ ɣ ʏ r
líkamsleifar	l iː kʰ a m s t l ei v a r
líkamsrækt	l iː kʰ a m s r ai x t
líkamsræktarstöð	l iː kʰ a m s r ai x t a r̥ s t œ ð
líkamsræktarstöðvar	l iː kʰ a m s r ai x t a r̥ s t œ ð v a r
líkamstjón	l iː kʰ a m s tʰ j ou n
líkamstjóni	l iː kʰ a m s tʰ j ou n ɪ
líkamstjóns	l iː kʰ a m s tʰ j ou n s
líkamsárás	l iː kʰ a m s au r au s
líkamsárásar	l iː kʰ a m s au r au s a r
líkamsárásir	l iː kʰ a m s au r au s ɪ r
líkan	l iː k a n
líkar	l iː k a r
líkara	l iː k a r a
líkari	l iː k a r ɪ
líkast	l iː k a s t
líkað	l iː k a ð
líkaði	l iː k a ð ɪ
líki	l iː c ɪ
líkin	l iː c ɪ n
líkindi	l iː c ɪ n t ɪ
líkindum	l iː c ɪ n t ʏ m
líkingu	l iː c i ŋ k ʏ
líkir	l iː c ɪ r
líkist	l iː c ɪ s t
líkið	l iː c ɪ ð
líkja	l iː c a
líkjast	l iː c a s t
líkjör	l iː cʰ œ r
líkkistunni	l iː cʰ ɪ s t ʏ n ɪ
líkkistusmiðurinn	l iː cʰ ɪ s t ʏ s m ɪ ð ʏ r ɪ n
líkleg	l iː h k l ɛ ɣ
líklega	l i h k l ɛ ɣ a
líklegar	l i k l ɛ ɣ a r
líklegast	l i k l ɛ ɣ a s t
líklegasta	l i k l ɛ ɣ a s t a
líklegastir	l i h k l ɛ ɣ a s t ɪ r
líklegastur	l i k l ɛ ɣ a s t ʏ r
líklegir	l i h k l ei j ɪ r
líklegra	l i h k l ɛ ɣ r a
líklegri	l i k l ɛ ɣ r ɪ
líklegt	l i h k l ɛ x t
líklegur	l i h k l ɛ ɣ ʏ r
líknandi	l i h k n a n t ɪ
líknardeild	l i h k n a r̥ t ei l t
líknarmála	l i h k n a r m au l a
líkt	l i x t
líkti	l i x t ɪ
líktist	l i x t ɪ s t
líktust	l i x t ʏ s t
líkum	l iː k ʏ m
líkur	l iː k ʏ r
líkurnar	l iː k ʏ r t n a r
líma	l iː m a
lína	l iː n a
línan	l iː n a n
líndal	l i n t a l
líney	l iː n ei
línkoln	l i ŋ k ɔ l n
línu	l iː n ʏ
línudanskennsla	l iː n ʏ t a n s cʰ ɛ n s t l a
línum	l iː n ʏ m
línumaður	l iː n ʏ m a ð ʏ r
línuna	l iː n ʏ n a
línunnar	l iː n ʏ n a r
línunni	l iː n ʏ n ɪ
línur	l iː n ʏ r
línurnar	l iː n ʏ r t n a r
líst	l i s t
lísu	l iː s ʏ
lít	l iː t
líta	l iː t a
líti	l iː t ɪ
lítil	l iː t ɪ l
lítill	l iː t ɪ t l̥
lítilla	l iː t ɪ t l a
lítillar	l iː t ɪ t l a r
lítillega	l iː t ɪ l ɛ ɣ a
lítilli	l iː t ɪ t l ɪ
lítillátur	l iː t ɪ l au t ʏ r
lítilræði	l iː t ɪ l r ai ð ɪ
lítils	l iː t ɪ l s
lítilsháttar	l iː t ɪ l s h au h t a r
lítinn	l iː t ɪ n
lítið	l iː t ɪ ð
lítra	l iː t r a
lítrar	l iː t r a r
lítri	l iː t r ɪ
lítrinn	l iː t r ɪ n
lítrum	l iː t r ʏ m
lítt	l i h t
lítum	l iː t ʏ m
lítur	l iː t ʏ r
líða	l iː ð a
líðan	l iː ð a n
líðandi	l iː ð a n t ɪ
líðast	l iː ð a s t
líði	l iː ð ɪ
líður	l iː ð ʏ r
líú	ɛ t l iː u
lófa	l ouː v a
lófafylli	l ouː v a f ɪ t l ɪ
lófana	l ouː v a n a
lófann	l ouː v a n
lófanum	l ouː v a n ʏ m
lófatak	l ouː v a tʰ a k
lófatölvur	l ouː v a tʰ œ l v ʏ r
lófi	l ouː v ɪ
lófunum	l ouː v ɔ n ʏ m
lógík	l ouː c i k
lógíkin	l ouː c i c ɪ n
lógíkina	l ouː c i c ɪ n a
lógísk	l ouː c i s k
lógíska	l ouː c i s k a
lógískan	l ouː c i s k a n
lógískar	l ouː c i s k a r
lógískara	l ouː c i s k a r a
lógískast	l ouː c i s k a s t
lógíski	l ouː c i s c ɪ
lógískt	l ouː c i s t
lógísku	l ouː c i s k ʏ
lógískum	l ouː c i s k ʏ m
lógískur	l ouː c i s k ʏ r
lógó	l ouː k ou
lógói	l ouː k ou ɪ
lógóin	l ouː k ou ɪ n
lógóinu	l ouː k ou ɪ n ʏ
lógóið	l ouː k ou ɪ ð
lógós	l ouː k ou s
lógósins	l ouː k ou s ɪ n s
lógóum	l ouː k ou ʏ m
lón	l ouː n
lóni	l ouː n ɪ
lóninu	l ouː n ɪ n ʏ
